Date,Heures,Consommation,Prevision J-1,Prevision J
2016-01-01,12:00,54333,55500,54700
2016-01-02,12:00,58954,59200,59200
2016-01-03,12:00,60198,58900,60400
2016-01-04,12:00,70083,70200,69600
2016-01-05,12:00,72454,71700,71700
2016-01-06,12:00,73502,72700,73200
2016-01-07,12:00,73372,71600,72500
2016-01-08,12:00,72485,73200,72000
2016-01-09,12:00,63380,63500,62900
2016-01-10,12:00,62335,60000,62600
2016-01-11,12:00,72403,71700,71500
2016-01-12,12:00,74290,72700,73400
2016-01-13,12:00,76878,76500,76100
2016-01-14,12:00,77958,78300,77200
2016-01-15,12:00,79975,79400,78700
2016-01-16,12:00,74137,73800,73700
2016-01-17,12:00,71512,73200,71600
2016-01-18,12:00,85454,83800,85000
2016-01-19,12:00,85323,84900,85000
2016-01-20,12:00,84924,84500,84200
2016-01-21,12:00,84733,82600,84000
2016-01-22,12:00,84056,81600,83300
2016-01-23,12:00,69359,72200,68900
2016-01-24,12:00,64325,64500,64000
2016-01-25,12:00,72125,71500,71000
2016-01-26,12:00,71772,72800,71100
2016-01-27,12:00,72151,70400,71100
2016-01-28,12:00,71215,69900,70800
2016-01-29,12:00,72583,72500,71700
2016-01-30,12:00,65677,64100,64400
2016-01-31,12:00,60868,59000,61000
2016-02-01,12:00,67690,67900,66900
2016-02-02,12:00,68227,68200,67500
2016-02-03,12:00,71281,71700,69800
2016-02-04,12:00,75604,72700,74500
2016-02-05,12:00,70258,71600,69500
2016-02-06,12:00,62497,61000,61500
2016-02-07,12:00,60574,59000,60500
2016-02-08,12:00,70764,69000,69700
2016-02-09,12:00,72566,70600,72100
2016-02-10,12:00,75536,75600,74500
2016-02-11,12:00,75314,77700,74800
2016-02-12,12:00,77786,76300,76900
2016-02-13,12:00,67630,67000,67100
2016-02-14,12:00,62297,63700,62100
2016-02-15,12:00,77174,76200,76400
2016-02-16,12:00,78847,79800,78500
2016-02-17,12:00,81214,81200,80700
2016-02-18,12:00,81136,80400,80800
2016-02-19,12:00,76962,79700,76000
2016-02-20,12:00,68026,66900,67300
2016-02-21,12:00,58942,58600,58500
2016-02-22,12:00,70033,68700,69000
2016-02-23,12:00,70904,71100,70500
2016-02-24,12:00,72741,72400,72100
2016-02-25,12:00,72768,73300,72500
2016-02-26,12:00,73713,74600,73000
2016-02-27,12:00,69072,66800,68400
2016-02-28,12:00,66158,64800,65900
2016-02-29,12:00,77624,75400,77100
2016-03-01,12:00,76720,77900,75800
2016-03-02,12:00,72512,72300,71600
2016-03-03,12:00,75588,73400,74800
2016-03-04,12:00,74037,73100,73900
2016-03-05,12:00,66945,67000,67700
2016-03-06,12:00,64252,66100,64800
2016-03-07,12:00,74961,76600,74800
2016-03-08,12:00,76098,77400,75800
2016-03-09,12:00,76019,75200,75400
2016-03-10,12:00,73864,73300,73400
2016-03-11,12:00,71967,72000,71600
2016-03-12,12:00,63053,63200,62700
2016-03-13,12:00,60350,60500,60200
2016-03-14,12:00,69110,69200,68300
2016-03-15,12:00,68372,68700,68000
2016-03-16,12:00,72743,71000,72200
2016-03-17,12:00,70828,69400,70600
2016-03-18,12:00,68944,68500,68600
2016-03-19,12:00,62755,61200,62800
2016-03-20,12:00,59673,58200,59900
2016-03-21,12:00,66922,67800,66500
2016-03-22,12:00,66100,66600,65400
2016-03-23,12:00,67626,66300,67000
2016-03-24,12:00,66455,67200,66000
2016-03-25,12:00,67156,65800,66700
2016-03-26,12:00,56832,56400,56400
2016-03-27,12:00,55296,53600,54800
2016-03-28,12:00,56745,55500,56500
2016-03-29,12:00,65706,66600,64800
2016-03-30,12:00,65198,64000,64400
2016-03-31,12:00,65585,65200,65200
2016-04-01,12:00,67665,65800,67500
2016-04-02,12:00,60178,57200,60400
2016-04-03,12:00,51501,52000,51700
2016-04-04,12:00,61577,61000,61200
2016-04-05,12:00,62399,62900,62400
2016-04-06,12:00,62087,63200,61200
2016-04-07,12:00,63631,63300,63400
2016-04-08,12:00,64544,64400,64700
2016-04-09,12:00,57463,58200,57700
2016-04-10,12:00,52528,52800,52400
2016-04-11,12:00,60697,60000,60600
2016-04-12,12:00,60025,61200,59700
2016-04-13,12:00,60310,59800,60000
2016-04-14,12:00,59657,59700,59400
2016-04-15,12:00,58709,58300,58200
2016-04-16,12:00,51563,50800,51600
2016-04-17,12:00,50345,50400,50900
2016-04-18,12:00,61379,61500,61300
2016-04-19,12:00,60122,59800,59800
2016-04-20,12:00,58456,58500,57900
2016-04-21,12:00,57820,55900,57500
2016-04-22,12:00,57341,57200,57000
2016-04-23,12:00,52623,51800,52200
2016-04-24,12:00,52436,51500,53100
2016-04-25,12:00,64296,64000,63600
2016-04-26,12:00,64471,64100,64300
2016-04-27,12:00,65271,64100,64900
2016-04-28,12:00,63577,63800,63800
2016-04-29,12:00,62186,60600,61600
2016-04-30,12:00,56207,55000,56600
2016-05-01,12:00,52129,52000,52600
2016-05-02,12:00,59593,60000,59400
2016-05-03,12:00,58736,58600,58500
2016-05-04,12:00,56916,56500,56500
2016-05-05,12:00,46348,45500,45800
2016-05-06,12:00,48897,49000,49000
2016-05-07,12:00,45011,45300,45100
2016-05-08,12:00,41948,41600,41900
2016-05-09,12:00,53718,53000,53600
2016-05-10,12:00,54800,53800,54100
2016-05-11,12:00,55530,54000,55200
2016-05-12,12:00,55592,55200,54700
2016-05-13,12:00,55790,54400,55500
2016-05-14,12:00,48741,47700,48900
2016-05-15,12:00,44990,44900,45000
2016-05-16,12:00,47399,49000,47500
2016-05-17,12:00,54816,56100,54600
2016-05-18,12:00,54984,54800,54000
2016-05-19,12:00,56368,54500,56400
2016-05-20,12:00,55675,54500,55300
2016-05-21,12:00,46269,45900,46400
2016-05-22,12:00,43876,42900,45600
2016-05-23,12:00,56097,55800,55300
2016-05-24,12:00,55784,55100,56000
2016-05-25,12:00,54612,55100,54700
2016-05-26,12:00,53253,53800,53000
2016-05-27,12:00,53036,52800,53000
2016-05-28,12:00,45459,45500,46200
2016-05-29,12:00,42885,43000,43800
2016-05-30,12:00,54408,53900,53700
2016-05-31,12:00,56307,54600,56000
2016-06-01,12:00,56063,55700,56100
2016-06-02,12:00,56299,55600,56100
2016-06-03,12:00,55961,55600,56000
2016-06-04,12:00,47740,47600,48200
2016-06-05,12:00,43119,44000,44000
2016-06-06,12:00,52708,54200,52500
2016-06-07,12:00,52969,54600,53100
2016-06-08,12:00,53429,53700,53100
2016-06-09,12:00,52378,53300,52000
2016-06-10,12:00,52341,52500,52400
2016-06-11,12:00,45470,45000,45700
2016-06-12,12:00,42376,41600,42700
2016-06-13,12:00,52968,52900,52700
2016-06-14,12:00,52690,53400,52300
2016-06-15,12:00,54006,52800,53700
2016-06-16,12:00,53969,52900,54100
2016-06-17,12:00,53787,53400,53300
2016-06-18,12:00,46249,45800,46600
2016-06-19,12:00,42878,43000,43200
2016-06-20,12:00,53444,54000,53000
2016-06-21,12:00,54854,54000,54600
2016-06-22,12:00,55353,55200,55700
