Date,Heures,Consommation
2012-01-01,00:00,58315
2012-01-01,00:15,
2012-01-01,00:30,58315
2012-01-01,00:45,
2012-01-01,01:00,56231
2012-01-01,01:15,
2012-01-01,01:30,56075
2012-01-01,01:45,
2012-01-01,02:00,55532
2012-01-01,02:15,
2012-01-01,02:30,54911
2012-01-01,02:45,
2012-01-01,03:00,52496
2012-01-01,03:15,
2012-01-01,03:30,50664
2012-01-01,03:45,
2012-01-01,04:00,49161
2012-01-01,04:15,
2012-01-01,04:30,47596
2012-01-01,04:45,
2012-01-01,05:00,46656
2012-01-01,05:15,
2012-01-01,05:30,46277
2012-01-01,05:45,
2012-01-01,06:00,45827
2012-01-01,06:15,
2012-01-01,06:30,45897
2012-01-01,06:45,
2012-01-01,07:00,45580
2012-01-01,07:15,
2012-01-01,07:30,45637
2012-01-01,07:45,
2012-01-01,08:00,45770
2012-01-01,08:15,
2012-01-01,08:30,45686
2012-01-01,08:45,
2012-01-01,09:00,45730
2012-01-01,09:15,
2012-01-01,09:30,46504
2012-01-01,09:45,
2012-01-01,10:00,47421
2012-01-01,10:15,
2012-01-01,10:30,48274
2012-01-01,10:45,
2012-01-01,11:00,49114
2012-01-01,11:15,
2012-01-01,11:30,50043
2012-01-01,11:45,
2012-01-01,12:00,50975
2012-01-01,12:15,
2012-01-01,12:30,52341
2012-01-01,12:45,
2012-01-01,13:00,53651
2012-01-01,13:15,
2012-01-01,13:30,52421
2012-01-01,13:45,
2012-01-01,14:00,51025
2012-01-01,14:15,
2012-01-01,14:30,50375
2012-01-01,14:45,
2012-01-01,15:00,49148
2012-01-01,15:15,
2012-01-01,15:30,48706
2012-01-01,15:45,
2012-01-01,16:00,48335
2012-01-01,16:15,
2012-01-01,16:30,48274
2012-01-01,16:45,
2012-01-01,17:00,49256
2012-01-01,17:15,
2012-01-01,17:30,51586
2012-01-01,17:45,
2012-01-01,18:00,54425
2012-01-01,18:15,
2012-01-01,18:30,56067
2012-01-01,18:45,
2012-01-01,19:00,57333
2012-01-01,19:15,
2012-01-01,19:30,57786
2012-01-01,19:45,
2012-01-01,20:00,57752
2012-01-01,20:15,
2012-01-01,20:30,56946
2012-01-01,20:45,
2012-01-01,21:00,56054
2012-01-01,21:15,
2012-01-01,21:30,54975
2012-01-01,21:45,
2012-01-01,22:00,53890
2012-01-01,22:15,
2012-01-01,22:30,54348
2012-01-01,22:45,
2012-01-01,23:00,56577
2012-01-01,23:15,
2012-01-01,23:30,55634
2012-01-01,23:45,
2012-01-02,00:00,55164
2012-01-02,00:15,
2012-01-02,00:30,53643
2012-01-02,00:45,
2012-01-02,01:00,51404
2012-01-02,01:15,
2012-01-02,01:30,50842
2012-01-02,01:45,
2012-01-02,02:00,50399
2012-01-02,02:15,
2012-01-02,02:30,50113
2012-01-02,02:45,
2012-01-02,03:00,48201
2012-01-02,03:15,
2012-01-02,03:30,47182
2012-01-02,03:45,
2012-01-02,04:00,46306
2012-01-02,04:15,
2012-01-02,04:30,46294
2012-01-02,04:45,
2012-01-02,05:00,46692
2012-01-02,05:15,
2012-01-02,05:30,48092
2012-01-02,05:45,
2012-01-02,06:00,49460
2012-01-02,06:15,
2012-01-02,06:30,52118
2012-01-02,06:45,
2012-01-02,07:00,53970
2012-01-02,07:15,
2012-01-02,07:30,56592
2012-01-02,07:45,
2012-01-02,08:00,58593
2012-01-02,08:15,
2012-01-02,08:30,60350
2012-01-02,08:45,
2012-01-02,09:00,61001
2012-01-02,09:15,
2012-01-02,09:30,62254
2012-01-02,09:45,
2012-01-02,10:00,63127
2012-01-02,10:15,
2012-01-02,10:30,64130
2012-01-02,10:45,
2012-01-02,11:00,64766
2012-01-02,11:15,
2012-01-02,11:30,65816
2012-01-02,11:45,
2012-01-02,12:00,66515
2012-01-02,12:15,
2012-01-02,12:30,66996
2012-01-02,12:45,
2012-01-02,13:00,67682
2012-01-02,13:15,
2012-01-02,13:30,66640
2012-01-02,13:45,
2012-01-02,14:00,66105
2012-01-02,14:15,
2012-01-02,14:30,65917
2012-01-02,14:45,
2012-01-02,15:00,64500
2012-01-02,15:15,
2012-01-02,15:30,63789
2012-01-02,15:45,
2012-01-02,16:00,63348
2012-01-02,16:15,
2012-01-02,16:30,63469
2012-01-02,16:45,
2012-01-02,17:00,64318
2012-01-02,17:15,
2012-01-02,17:30,67139
2012-01-02,17:45,
2012-01-02,18:00,70548
2012-01-02,18:15,
2012-01-02,18:30,71949
2012-01-02,18:45,
2012-01-02,19:00,73263
2012-01-02,19:15,
2012-01-02,19:30,72615
2012-01-02,19:45,
2012-01-02,20:00,71079
2012-01-02,20:15,
2012-01-02,20:30,69050
2012-01-02,20:45,
2012-01-02,21:00,67435
2012-01-02,21:15,
2012-01-02,21:30,65332
2012-01-02,21:45,
2012-01-02,22:00,63756
2012-01-02,22:15,
2012-01-02,22:30,64030
2012-01-02,22:45,
2012-01-02,23:00,65929
2012-01-02,23:15,
2012-01-02,23:30,64902
2012-01-02,23:45,
2012-01-03,00:00,64600
2012-01-03,00:15,
2012-01-03,00:30,63033
2012-01-03,00:45,
2012-01-03,01:00,60533
2012-01-03,01:15,
2012-01-03,01:30,60426
2012-01-03,01:45,
2012-01-03,02:00,60104
2012-01-03,02:15,
2012-01-03,02:30,59861
2012-01-03,02:45,
2012-01-03,03:00,57915
2012-01-03,03:15,
2012-01-03,03:30,56691
2012-01-03,03:45,
2012-01-03,04:00,55743
2012-01-03,04:15,
2012-01-03,04:30,55656
2012-01-03,04:45,
2012-01-03,05:00,55974
2012-01-03,05:15,
2012-01-03,05:30,57846
2012-01-03,05:45,
2012-01-03,06:00,59861
2012-01-03,06:15,
2012-01-03,06:30,63824
2012-01-03,06:45,
2012-01-03,07:00,67316
2012-01-03,07:15,
2012-01-03,07:30,70887
2012-01-03,07:45,
2012-01-03,08:00,72996
2012-01-03,08:15,
2012-01-03,08:30,73374
2012-01-03,08:45,
2012-01-03,09:00,73224
2012-01-03,09:15,
2012-01-03,09:30,73227
2012-01-03,09:45,
2012-01-03,10:00,73197
2012-01-03,10:15,
2012-01-03,10:30,73183
2012-01-03,10:45,
2012-01-03,11:00,72723
2012-01-03,11:15,
2012-01-03,11:30,73156
2012-01-03,11:45,
2012-01-03,12:00,73534
2012-01-03,12:15,
2012-01-03,12:30,72610
2012-01-03,12:45,
2012-01-03,13:00,72920
2012-01-03,13:15,
2012-01-03,13:30,71871
2012-01-03,13:45,
2012-01-03,14:00,71404
2012-01-03,14:15,
2012-01-03,14:30,71332
2012-01-03,14:45,
2012-01-03,15:00,69849
2012-01-03,15:15,
2012-01-03,15:30,69383
2012-01-03,15:45,
2012-01-03,16:00,68904
2012-01-03,16:15,
2012-01-03,16:30,68687
2012-01-03,16:45,
2012-01-03,17:00,69380
2012-01-03,17:15,
2012-01-03,17:30,71878
2012-01-03,17:45,
2012-01-03,18:00,74505
2012-01-03,18:15,
2012-01-03,18:30,75611
2012-01-03,18:45,
2012-01-03,19:00,76698
2012-01-03,19:15,
2012-01-03,19:30,75660
2012-01-03,19:45,
2012-01-03,20:00,73535
2012-01-03,20:15,
2012-01-03,20:30,71275
2012-01-03,20:45,
2012-01-03,21:00,69189
2012-01-03,21:15,
2012-01-03,21:30,66829
2012-01-03,21:45,
2012-01-03,22:00,64861
2012-01-03,22:15,
2012-01-03,22:30,64898
2012-01-03,22:45,
2012-01-03,23:00,66939
2012-01-03,23:15,
2012-01-03,23:30,65479
2012-01-03,23:45,
2012-01-04,00:00,65081
2012-01-04,00:15,
2012-01-04,00:30,63129
2012-01-04,00:45,
2012-01-04,01:00,60564
2012-01-04,01:15,
2012-01-04,01:30,60194
2012-01-04,01:45,
2012-01-04,02:00,59709
2012-01-04,02:15,
2012-01-04,02:30,59353
2012-01-04,02:45,
2012-01-04,03:00,57569
2012-01-04,03:15,
2012-01-04,03:30,56545
2012-01-04,03:45,
2012-01-04,04:00,55655
2012-01-04,04:15,
2012-01-04,04:30,55628
2012-01-04,04:45,
2012-01-04,05:00,55992
2012-01-04,05:15,
2012-01-04,05:30,57863
2012-01-04,05:45,
2012-01-04,06:00,59642
2012-01-04,06:15,
2012-01-04,06:30,63366
2012-01-04,06:45,
2012-01-04,07:00,66855
2012-01-04,07:15,
2012-01-04,07:30,69997
2012-01-04,07:45,
2012-01-04,08:00,71959
2012-01-04,08:15,
2012-01-04,08:30,73326
2012-01-04,08:45,
2012-01-04,09:00,73197
2012-01-04,09:15,
2012-01-04,09:30,73257
2012-01-04,09:45,
2012-01-04,10:00,73373
2012-01-04,10:15,
2012-01-04,10:30,73244
2012-01-04,10:45,
2012-01-04,11:00,72955
2012-01-04,11:15,
2012-01-04,11:30,73046
2012-01-04,11:45,
2012-01-04,12:00,73199
2012-01-04,12:15,
2012-01-04,12:30,72394
2012-01-04,12:45,
2012-01-04,13:00,72381
2012-01-04,13:15,
2012-01-04,13:30,71342
2012-01-04,13:45,
2012-01-04,14:00,70932
2012-01-04,14:15,
2012-01-04,14:30,70657
2012-01-04,14:45,
2012-01-04,15:00,69402
2012-01-04,15:15,
2012-01-04,15:30,68648
2012-01-04,15:45,
2012-01-04,16:00,68710
2012-01-04,16:15,
2012-01-04,16:30,68859
2012-01-04,16:45,
2012-01-04,17:00,69470
2012-01-04,17:15,
2012-01-04,17:30,72475
2012-01-04,17:45,
2012-01-04,18:00,75482
2012-01-04,18:15,
2012-01-04,18:30,76912
2012-01-04,18:45,
2012-01-04,19:00,78337
2012-01-04,19:15,
2012-01-04,19:30,77173
2012-01-04,19:45,
2012-01-04,20:00,75281
2012-01-04,20:15,
2012-01-04,20:30,72985
2012-01-04,20:45,
2012-01-04,21:00,70927
2012-01-04,21:15,
2012-01-04,21:30,68726
2012-01-04,21:45,
2012-01-04,22:00,66808
2012-01-04,22:15,
2012-01-04,22:30,66878
2012-01-04,22:45,
2012-01-04,23:00,68550
2012-01-04,23:15,
2012-01-04,23:30,67376
2012-01-04,23:45,
2012-01-05,00:00,67042
2012-01-05,00:15,
2012-01-05,00:30,65123
2012-01-05,00:45,
2012-01-05,01:00,62447
2012-01-05,01:15,
2012-01-05,01:30,62331
2012-01-05,01:45,
2012-01-05,02:00,61889
2012-01-05,02:15,
2012-01-05,02:30,61501
2012-01-05,02:45,
2012-01-05,03:00,59574
2012-01-05,03:15,
2012-01-05,03:30,58245
2012-01-05,03:45,
2012-01-05,04:00,57258
2012-01-05,04:15,
2012-01-05,04:30,56923
2012-01-05,04:45,
2012-01-05,05:00,57286
2012-01-05,05:15,
2012-01-05,05:30,58897
2012-01-05,05:45,
2012-01-05,06:00,60585
2012-01-05,06:15,
2012-01-05,06:30,64353
2012-01-05,06:45,
2012-01-05,07:00,68131
2012-01-05,07:15,
2012-01-05,07:30,71594
2012-01-05,07:45,
2012-01-05,08:00,73668
2012-01-05,08:15,
2012-01-05,08:30,74133
2012-01-05,08:45,
2012-01-05,09:00,73766
2012-01-05,09:15,
2012-01-05,09:30,73823
2012-01-05,09:45,
2012-01-05,10:00,74185
2012-01-05,10:15,
2012-01-05,10:30,74003
2012-01-05,10:45,
2012-01-05,11:00,74216
2012-01-05,11:15,
2012-01-05,11:30,74870
2012-01-05,11:45,
2012-01-05,12:00,75254
2012-01-05,12:15,
2012-01-05,12:30,74300
